PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_CASSPI
203469,Cody Zeller,73,24.3,1773.7316666666666,8.7,638,6.2,455,1.0,71,0.8,57,0.9,63,0.529,0.1,0.152,False
202332,Cole Aldrich,60,13.3,799.6366666666667,5.5,328,4.8,288,0.8,50,0.8,47,1.1,68,0.596,0.0,0.185,False
201147,Corey Brewer,82,20.4,1668.8833333333334,7.2,590,2.4,199,1.3,109,1.0,84,0.2,19,0.384,0.272,0.172,False
203928,Cory Jefferson,8,6.3,50.06333333333333,2.8,22,2.0,16,0.0,0,0.0,0,0.1,1,0.409,0.0,0.203,False
202709,Cory Joseph,80,25.6,2046.4016666666666,8.5,677,2.6,210,3.1,250,0.8,63,0.3,20,0.439,0.273,0.166,False
1626262,Coty Clarke,3,1.9,5.801666666666667,2.0,6,0.3,1,0.0,0,0.0,0,0.0,0,0.5,1.0,0.357,False
201584,Courtney Lee,79,29.6,2334.4733333333334,9.6,761,2.6,205,1.7,136,1.1,85,0.4,28,0.454,0.378,0.146,False
1626245,Cristiano Felicio,31,10.3,320.7033333333333,3.4,105,3.3,102,0.8,26,0.2,6,0.4,13,0.556,0.0,0.135,False
1626156,D'Angelo Russell,80,28.2,2259.08,13.2,1054,3.4,274,3.3,266,1.2,93,0.2,13,0.41,0.351,0.238,False
201571,D.J. Augustin,62,19.0,1177.6233333333332,7.5,467,1.5,95,3.2,198,0.6,38,0.1,4,0.423,0.405,0.18,False
2563,Dahntay Jones,1,42.4,42.35,13.0,13,5.0,5,2.0,2,1.0,1,2.0,2,0.429,0.5,0.156,False
203081,Damian Lillard,75,35.7,2675.7616666666668,25.1,1879,4.0,302,6.8,512,0.9,65,0.4,28,0.419,0.375,0.304,False
203996,Damien Inglis,20,7.8,156.35166666666666,1.8,36,1.6,31,0.5,10,0.3,6,0.2,3,0.351,0.231,0.149,False
204014,Damjan Rudez,33,8.4,277.285,2.3,75,0.6,20,0.3,11,0.1,3,0.0,1,0.403,0.34,0.123,False
